peso	densidad	peso_pos
29.61	1.97	30.73
27.99	1.90	29.67
30.17	2.03	28.95
30.97	2.06	30.15
28.93	1.94	30.28
27.27	1.86	29.62
28.24	1.92	29.25
29.5	1.98	31.17
27.89	1.90	28.97
30.23	1.99	30.28
27.68	1.88	30.52
28.48	1.90	29.52
28.89	1.94	30.15
29.28	1.96	29.14
29.84	2.03	30.79
27.86	1.86	29.40
27.51	1.84	28.97
29.16	1.95	30.28
29.16	1.96	30.52
28.23	1.89	29.52
28.55	1.89	30.15
29.28	1.99	29.14
28.74	1.93	30.79
28.24	1.89	29.40
26.92	1.84	28.94
28.17	1.89	29.80
27.81	1.90	30.46
28.31	1.91	30.78
29.87	2.01	31.16
28.66	1.94	30.54
29.24	1.96	29.34
28.27	1.90	29.92
29.14	1.96	29.95
27.26	1.89	30.26
29.68	1.97	29.97
28.51	1.93	29.56
29.56	1.96	29.73
29.37	1.97	29.76
27.07	1.83	29.69
28.91	1.92	29.98
28.24	1.89	29.15
29.66	1.96	30.20
27.82	1.89	29.95
27.72	1.90	31.18
28.74	1.94	29.88
28.8	1.94	29.79
28.47	1.93	29.76
29.5	1.92	30.00
27.97	1.90	29.93
28.46	1.96	29.91
